id,title,all_authors,author_gender,category,orthography,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,rfdsd
SvB_BS_177,Björndansen,Roslund & Thunberg,M,CRIME,dash,118129,188170,264252,219834,264471,196570,280303,302017,309604,243527,238687
SvB_BS_179,Konsten att höra hjärtslag,Jan-Philipp Sendker,M,ROMANCE,quot,77249,21564,128059,136261,105834,49735,77259,141421,54372,197910,98965
SvB_BS_180,Etthundra mil,Jojo Moyes,F,ROMANCE,quot,402446,328331,412915,405874,352603,287567,292199,287197,202335,343927,331539
SvB_BS_181,Sista brevet från din älskade,Jojo Moyes,F,ROMANCE,quot,354006,305894,295397,266277,299480,329166,380257,359364,305569,274882,317030
SvB_BS_182,Visning pågår,Sofie Sarenbrant,F,CRIME,quot,120451,162558,367748,418023,335310,222674,229043,245814,163121,279884,254462
SvB_BS_184,Lotus blues,Kristina Ohlsson,F,CRIME,dash,286340,294650,338030,313595,367955,372013,327399,360781,398896,366146,342580
SvB_BS_185,Offer utan ansikte,Stefan Ahnhem,M,CRIME,quot,285656,311488,268172,256278,263772,359423,354297,248416,69346,312661,272950
SvB_BS_186,Öppnas i händelse av min död,Liane Moriarty,F,ROMANCE,quot,128656,141178,258746,240967,185911,282642,327566,291914,308928,205028,237154
SvB_BS_187,Stoner,John Williams,M,OTHER,quot,195249,234424,122652,76970,226276,551636,249546,285455,207732,258303,240822
SvB_BS_188,I skymningen sjunger koltrasten,Linda Olsson,F,OTHER,quot,22325,265888,339172,319134,495106,472862,329727,281003,593337,361731,348029
SvB_BS_189,I maktens skugga,Viveca Sten,F,CRIME,quot,134796,292300,264768,265084,364451,425588,335338,432911,271414,275316,306196
SvB_BS_190,Jakthundarna,Jørn Lier Horst,M,CRIME,quot,235972,311201,132227,233601,176039,327123,182793,256436,258695,218383,233246
SvB_BS_191,Den stumma flickan,"Hans Rosenfeldt, Michael Hjorth",M,CRIME,quot,146563,208353,196393,190002,147999,210156,200206,283556,178136,191505,195287
SvB_BS_192,Tre minuter,Roslund & Hellström,M,CRIME,dash,123854,228784,211037,291051,167562,288889,227293,191872,325652,253244,230923
SvB_BS_193,Kaninjägaren,Lars Kepler,2,CRIME,dash,185061,244936,205392,243149,196023,297364,274129,242553,272788,117897,227930
SvB_BS_194,Kan man dö två gånger? : En roman om ett brott,Leif G.W. Persson,M,CRIME,dash,261505,456037,298997,359170,414289,491098,558812,568297,523984,393532,432571
SvB_BS_196,Simma med de drunknade,Lars Mytting,M,OTHER,quot,162542,245772,244704,198059,140390,261617,339861,225743,271141,238850,232869
SvB_BS_197,Ljuset vi inte ser,Anthony Doerr,M,PRESTIGE,quot,115013,128741,202730,183574,136483,187485,84364,84923,128821,88761,134090
SvB_BS_198,Avdelning 73,Sofie Sarenbrant,F,CRIME,quot,44484,113169,234857,199838,230395,169957,235127,312601,347620,135884,202393
SvB_BS_199,Det andra ansiktet,Mari Jungstedt,F,CRIME,dash,42702,324737,249231,287709,203005,293707,128357,249468,187507,126937,209336
SvB_BS_200,Störst av allt,Malin Persson Giolito,F,CRIME,quot,53604,67028,72932,77597,263353,172046,286394,103494,53318,353837,150358
SvB_BS_201,Snövit ska dö,Nele Neuhaus,F,CRIME,quot,161170,268910,261316,213446,342317,316185,345667,413416,454958,342987,312036
SvB_BS_202,Glöm mig,Alex Schulman,M,OTHER,quot,103178,115147,79670,74907,137461,121544,153116,113519,351837,148813,139921
SvB_BS_205,Kvinna inför rätta,Louise Doughty,F,CRIME,quot,63185,124891,85473,120714,236661,84943,240557,374445,249434,138045,171834
SvB_BS_206,Tiggaren,Sofie Sarenbrant,F,CRIME,quot,56938,103862,166749,163758,190641,273087,147667,47289,142114,212553,150465
SvB_BS_207,Bakom din rygg,Sofie Sarenbrant,F,CRIME,quot,50876,107769,212529,107769,128319,98352,136804,52577,136150,102420,113356
SvB_BS_208,1968,Jan Guillou,M,OTHER,quot,248452,130386,234778,177346,151372,75163,165907,181115,114131,120237,159890
SvB_BS_209,Slutet på sommaren,Anders de la Motte,M,CRIME,quot,123895,242776,219618,107044,156093,101892,277738,385359,280617,234961,212999
SvB_BS_210,Arton grader minus,Stefan Ahnhem,M,CRIME,quot,282661,309029,268611,235517,204035,310228,414902,376615,393461,183459,297853
SvB_BS_211,Återstoden av dagen,Kazuo Ishiguro,M,PRESTIGE,quot,65818,65147,378820,293298,356166,194772,260724,517560,440080,475335,304772
SvB_BS_212,Ett litet liv,Hanya Yanagihara,F,PRESTIGE,quot,71737,151915,144512,148534,184688,123389,146358,121648,112279,127243,133230
SvB_BS_213,Hjärtats innersta röst,Jan-Philipp Sendker,M,ROMANCE,quot,186113,260797,170126,22071,105703,172870,45812,323908,307206,177046,177165
SvB_BS_214,Vänd dig inte om,Tove Alsterdal,F,CRIME,quot,161524,211538,283891,360577,293881,314483,282168,365178,347115,249650,287000
SvB_BS_215,De kommer att drunkna i sina mödrars tårar,Johannes Anyuru,M,PRESTIGE,quot,30635,95253,171297,170980,91284,188443,121765,166217,169868,85410,129114
SvB_BS_216,Björnstad,Fredrik Backman,M,OTHER,dash,95167,117769,134155,178515,204337,123552,155425,217661,356203,189026,177180
SvB_BS_217,Italienska skor,Henning Mankell,M,OTHER,dash,106360,184932,275722,250569,321595,236316,207330,231884,286142,256469,235732
SvB_BS_218,Krigets gudar : Kejsaren IV,Conn Iggulden,M,OTHER,quot,253196,354739,239162,252902,254004,191624,274798,213740,247318,180910,246240
SvB_BS_219,Vänaste land,Åke Edwardson,M,CRIME,quot,255322,371884,327413,492772,405396,392829,290837,423497,534548,387750,388225
SvB_BS_220,I denna ljuva sommartid,Mari Jungstedt,F,CRIME,dash,356701,375948,568090,504102,442742,310943,322656,388485,301145,98592,366943
SvB_BS_221,Lyckans hjul,Kajsa Ingemarsson,F,ROMANCE,quot,216649,200757,229941,233359,286892,340675,164742,314962,380518,318358,268685
SvB_BS_222,Flickan under gatan,Roslund & Hellström,M,CRIME,dash,45606,86074,266444,210560,128340,181012,200026,181141,244219,181293,172471
SvB_BS_223,Tröstaren,Karin Wahlberg,F,CRIME,dash,71249,121745,170797,203718,292389,179253,305451,280643,245081,401993,227230
SvB_BS_224,Skumtimmen,Johan Theorin,M,CRIME,quot,114427,137783,282131,279777,304861,282223,316763,404064,316397,261467,269989
SvB_BS_225,Tårtgeneralen,"Filip Hammar, Fredrik Wikingsson",M,OTHER,quot,82385,99881,253440,42466,154578,90708,82555,39239,30236,87311,96280
SvB_BS_226,Ängelns lek,Carlos Ruiz Zafon,M,OTHER,dash,219492,338637,291942,452141,512547,439270,396909,345039,266912,276161,353904
SvB_BS_227,Matthandlare Olssons död,Karin Wahlberg,F,CRIME,quot,75167,113029,209275,159084,162345,126551,268931,293430,220729,283964,191250
SvB_BS_228,Bergens väktare : Erövraren III,Conn Iggulden,M,OTHER,quot,157227,188874,132299,143225,125958,198920,160555,175499,310561,125589,171871
SvB_BS_229,Maskarna på Carmine Street,Håkan Nesser,M,CRIME,quot,139195,112386,148457,214605,351468,428678,121013,230139,241616,138471,212600
SvB_BS_230,Den farliga leken,Mari Jungstedt,F,CRIME,dash,37941,326486,387190,219913,132931,210246,364065,291118,295916,229245,249505
SvB_BS_231,De ensamma,Håkan Nesser,M,CRIME,quot,153015,170147,185515,389926,314853,295221,238456,291544,292500,341863,267303
