id,title,all_authors,author_gender,translation,publisher,publication_date,subset,award,category,orthography
SvB_BS_314,Överlevarna,Alex Schulman,M,no,Bonnier Audio,2020-09-04,bestseller,,OTHER,quot
SvB_BS_316,Mytomanen,Sofie Sarenbrant,F,no,Stockholm Text,2020-05-25,bestseller,,CRIME,quot
SvB_BS_317,Vargasommar,Hans Rosenfeldt,M,no,Norstedts,2020-09-24,bestseller,,CRIME,quot
SvB_BS_318,Renegater,Klas Östergren,M,no,Bokförlaget Polaris,2020-09-10,bestseller,August,PRESTIGE,quot
SvB_BS_319,Solsystern : Electras bok,Lucinda Riley,F,transl,Bazar Förlag,2020-10-28,bestseller,,ROMANCE,quot
SvB_BS_320,Innan molnen kommer,Mari Jungstedt,F,no,Bonnier Audio,2020-06-01,bestseller,,CRIME,dash
SvB_BS_321,Jag ser allt du gör,Annika Norlin,F,no,Weyler Förlag,2020-04-17,bestseller,August,PRESTIGE,quot
SvB_BS_323,Månsystern : Tiggys bok,Lucinda Riley,F,transl,BZR Publishing AB,2020-01-27,bestseller,,ROMANCE,quot
SvB_BS_324,Nio liv,Emelie Schepp,F,no,HarperCollins Nordic,2020-11-05,bestseller,,CRIME,dash
SvB_BS_325,Testamente,Nina Wähä,F,no,Norstedts,2019-06-26,bestseller,August,PRESTIGE,dash
SvB_BS_327,Tillbaka till den lilla ön i havet,Jenny Colgan,F,transl,Norstedts,2019-04-04,bestseller,,ROMANCE,quot
SvB_BS_328,Det sista livet,"Peter Mohlin, Peter Nyström",M,no,Norstedts,2020-04-02,bestseller,,CRIME,quot
SvB_BS_329,Krokodilväktaren,Katrine Engberg,F,no,Bonnier Audio,2019-06-11,bestseller,,CRIME,quot
SvB_BS_330,Bokcirkeln vid världens ände,Frida Skybäck,F,no,Louise Bäckelin Förlag,2020-02-05,bestseller,,ROMANCE,quot
SvB_BS_331,Råttkungen,Pascal Engman,M,no,Stockholm Text,2019-10-16,bestseller,,CRIME,quot
SvB_BS_333,Det första chiffret,Denise Rudberg,F,no,Bonnier Audio,2019-05-13,bestseller,,OTHER,dash
SvB_BS_334,Julafton på den lilla ön i havet,Jenny Colgan,F,transl,Norstedts,2019-10-24,bestseller,,ROMANCE,quot
