id,title,all_authors,author_gender,category,orthography,rfdsd,mninsl,wc
SvB_BS_199,Det andra ansiktet,Mari Jungstedt,F,CRIME,dash,209336,11.409413281753707,84534
SvB_BS_200,Störst av allt,Malin Persson Giolito,F,CRIME,quot,150358,11.476744186046512,105029
SvB_BS_201,Snövit ska dö,Nele Neuhaus,F,CRIME,quot,312036,11.47986852917009,134321
SvB_BS_202,Glöm mig,Alex Schulman,M,OTHER,quot,139921,7.38562091503268,48456
SvB_BS_205,Kvinna inför rätta,Louise Doughty,F,CRIME,quot,171834,13.44891008174387,114896
SvB_BS_206,Tiggaren,Sofie Sarenbrant,F,CRIME,quot,150465,7.934073107049608,80783
SvB_BS_207,Bakom din rygg,Sofie Sarenbrant,F,CRIME,quot,113356,7.0751020408163265,76458
SvB_BS_208,1968,Jan Guillou,M,OTHER,quot,159890,12.724845995893224,116274
SvB_BS_209,Slutet på sommaren,Anders de la Motte,M,CRIME,quot,212999,12.092819614711033,97254
SvB_BS_210,Arton grader minus,Stefan Ahnhem,M,CRIME,quot,297853,13.76762080640197,150178
SvB_BS_211,Återstoden av dagen,Kazuo Ishiguro,M,PRESTIGE,quot,304772,18.666666666666668,74600
SvB_BS_212,Ett litet liv,Hanya Yanagihara,F,PRESTIGE,quot,133230,7.8052559325357915,298724
SvB_BS_213,Hjärtats innersta röst,Jan-Philipp Sendker,M,ROMANCE,quot,177165,9.269662921348315,83820
SvB_BS_214,Vänd dig inte om,Tove Alsterdal,F,CRIME,quot,287000,12.931862938164631,114404
SvB_BS_215,De kommer att drunkna i sina mödrars tårar,Johannes Anyuru,M,PRESTIGE,quot,129114,8.248478701825558,62991
SvB_BS_216,Björnstad,Fredrik Backman,M,OTHER,dash,177180,13.006682867557716,120832
SvB_BS_217,Italienska skor,Henning Mankell,M,OTHER,dash,235732,12.331453634085213,83489
SvB_BS_218,Krigets gudar : Kejsaren IV,Conn Iggulden,M,OTHER,quot,246240,16.476401179941004,136099
SvB_BS_219,Vänaste land,Åke Edwardson,M,CRIME,quot,388225,6.819436112777445,87846
SvB_BS_220,I denna ljuva sommartid,Mari Jungstedt,F,CRIME,dash,366943,13.0633608815427,64615
SvB_BS_221,Lyckans hjul,Kajsa Ingemarsson,F,ROMANCE,quot,268685,9.932568149210903,103065
SvB_BS_222,Flickan under gatan,Roslund & Hellström,M,CRIME,dash,172471,10.132075471698114,77839
SvB_BS_223,Tröstaren,Karin Wahlberg,F,CRIME,dash,227230,11.279717373233582,119434
SvB_BS_224,Skumtimmen,Johan Theorin,M,CRIME,quot,269989,8.431103487707261,109234
SvB_BS_225,Tårtgeneralen,"Filip Hammar, Fredrik Wikingsson",M,OTHER,quot,96280,9.891797556719023,58870
SvB_BS_226,Ängelns lek,Carlos Ruiz Zafon,M,OTHER,dash,353904,13.64953853828885,154621
SvB_BS_227,Matthandlare Olssons död,Karin Wahlberg,F,CRIME,quot,191250,11.815233415233415,125720
SvB_BS_228,Bergens väktare : Erövraren III,Conn Iggulden,M,OTHER,quot,171871,16.21563981042654,159259
