id,title,all_authors,author_gender,category,orthography,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,rfdsd
SvB_BS_313,Slutet på historien,Jan Guillou,M,OTHER,quot,9664,22655,196610,272223,176648,214670,282478,143084,166508,121990,274240,168119,330640,92997,86185,140865,5228,26933,147180,106798,149285
SvB_BS_314,Överlevarna,Alex Schulman,M,OTHER,quot,60595,54858,158838,403156,220151,165292,234851,92898,191108,142345,267121,47346,181427,119398,97526,70660,78523,22947,202582,88235,144993
SvB_BS_316,Mytomanen,Sofie Sarenbrant,F,CRIME,quot,191514,306747,356364,248145,529330,224901,463714,402365,267563,358451,291213,390306,405286,308138,318572,277365,277301,370276,155344,294527,321871
SvB_BS_317,Vargasommar,Hans Rosenfeldt,M,CRIME,quot,135548,81329,175296,139013,264220,225234,181207,61353,121484,142712,175703,245821,25887,235222,216310,144925,110477,219935,164085,88685,157721
SvB_BS_318,Renegater,Klas Östergren,M,PRESTIGE,quot,101793,220685,186865,140490,119737,164745,164219,86088,189769,100436,114613,133402,58417,25021,36980,14519,228542,38859,101887,221283,122417
SvB_BS_319,Solsystern : Electras bok,Lucinda Riley,F,ROMANCE,quot,441536,396152,400941,472089,464696,503840,409909,572715,594351,376579,590091,463374,506896,474814,488480,537864,421965,663886,712280,643571,506801
SvB_BS_320,Innan molnen kommer,Mari Jungstedt,F,CRIME,dash,96755,258495,220807,81007,172027,277525,94964,24879,252957,422330,284587,213831,239078,118325,270246,426578,408070,391265,31553,222998,225416
SvB_BS_321,Jag ser allt du gör,Annika Norlin,F,PRESTIGE,quot,153846,73191,335006,289419,212882,145964,175659,267252,256796,187369,281054,103722,130071,161020,156420,218737,395232,25931,56462,57298,184166
SvB_BS_323,Månsystern : Tiggys bok,Lucinda Riley,F,ROMANCE,quot,469117,560410,467155,445315,323122,470021,476147,544898,578086,496786,497238,456061,513459,541930,499397,539420,549664,472780,704630,458417,503204
SvB_BS_324,Nio liv,Emelie Schepp,F,CRIME,dash,380256,298628,447818,354846,427704,304318,420058,547785,355825,416461,467731,332434,411064,437598,404184,417360,302451,396986,275916,349078,387426
SvB_BS_325,Testamente,Nina Wähä,F,PRESTIGE,dash,44742,54126,119223,109861,30279,31480,53457,49699,28269,60959,15807,52921,76624,93783,106511,100737,61763,164903,20766,130359,70314
SvB_BS_327,Tillbaka till den lilla ön i havet,Jenny Colgan,F,ROMANCE,quot,91725,200770,285226,233911,152234,160359,288067,233269,233483,230062,213171,290357,302972,314799,248022,173402,219585,374599,265982,306886,240942
SvB_BS_328,Det sista livet,"Peter Mohlin, Peter Nyström",M,CRIME,quot,113256,200865,238795,66282,194120,331700,127108,261527,322525,268732,277233,257818,521326,301340,279107,425566,293084,209973,273055,119037,254123
SvB_BS_329,Krokodilväktaren,Katrine Engberg,F,CRIME,quot,240896,241112,249300,346693,412842,449041,574661,461754,461754,384267,544495,160095,401638,363499,366300,354234,552683,330748,441284,282759,381004
SvB_BS_330,Bokcirkeln vid världens ände,Frida Skybäck,F,ROMANCE,quot,38413,425976,164126,222756,234913,253706,246555,269785,225726,225099,261169,362706,462518,346555,321361,465233,485595,371059,292337,213197,294438
SvB_BS_331,Råttkungen,Pascal Engman,M,CRIME,quot,224856,171731,297422,199355,242864,254604,217491,142035,146869,380064,180018,252072,347145,130495,418738,174724,289825,268416,146409,114871,229999
SvB_BS_333,Det första chiffret,Denise Rudberg,F,OTHER,dash,323295,463832,431650,249779,183402,331562,491290,300561,573959,378027,300856,474756,459994,522291,525989,253617,498671,338648,418955,425871,397351
SvB_BS_334,Julafton på den lilla ön i havet,Jenny Colgan,F,ROMANCE,quot,2889,126553,243860,214678,280925,115862,260907,108350,272754,241618,210922,97082,128576,255706,110694,240104,304825,181739,202543,207514,190404
